"HS_ID","ID","PF","LOG10K"
12,"31","2.371","-2.65"
12,"31","2.385","-2.7"
12,"31","2.401","-2.74"
12,"31","2.418","-2.79"
12,"31","2.434","-2.83"
12,"31","2.452","-2.89"
12,"31","2.47","-2.94"
12,"31","2.489","-3"
12,"31","2.51","-3.05"
12,"31","2.531","-3.11"
12,"31","2.554","-3.18"
12,"31","2.58","-3.25"
12,"31","2.61","-3.33"
12,"31","2.646","-3.43"
12,"31","2.69","-3.55"
12,"31","2.747","-3.69"
12,"31","2.82","-3.86"
12,"31","3.201","-4.67"
12,"31","1.888","-.52"
12,"31","1.929","-.74"
12,"31","1.964","-.9"
12,"31","1.993","-1.03"
12,"31","2.018","-1.17"
12,"31","2.041","-1.32"
12,"31","2.063","-1.47"
12,"31","2.083","-1.59"
12,"31","2.102","-1.65"
12,"31","2.121","-1.72"
12,"31","2.139","-1.81"
12,"31","2.156","-1.89"
12,"31","2.173","-1.95"
12,"31","2.189","-2.01"
12,"31","2.206","-2.06"
12,"31","2.222","-2.12"
13,"1W","1.887","-.56"
13,"1W","3.82","-4.07"
13,"1W","1.984","-1"
13,"1W","2.033","-1.18"
13,"1W","2.079","-1.35"
13,"1W","2.121","-1.5"
13,"1W","2.159","-1.64"
13,"1W","2.193","-1.78"
13,"1W","2.222","-1.92"
13,"1W","2.249","-2"
13,"1W","2.277","-2.06"
13,"1W","2.302","-2.12"
13,"1W","2.326","-2.18"
13,"1W","2.349","-2.23"
13,"1W","2.37","-2.29"
13,"1W","2.39","-2.34"
13,"1W","2.41","-2.39"
13,"1W","2.429","-2.44"
13,"1W","2.448","-2.49"
